slug,title,url,date,year,month,topics,category,,Geographic Region ,summary,text_length,word_count,body
fb-vj6fo5uy,Dehumanizing speech against a woman,https://www.oversightboard.com/decision/fb-vj6fo5uy/,6/27/2023,2023,6,[],,,,"A user appealed Meta’s decision to leave up a Facebook post that attacked an identifiable woman and compared her to a motor vehicle (“truck”). After the Board brought the appeal to Meta's attention, the company reversed its original decision and removed the post.",4722,734,
fb-vxeeg6dn,Link to Wikipedia Article on Hayat Tahrir al-Sham,https://www.oversightboard.com/decision/fb-vxeeg6dn/,5/13/2025,2025,5,[],,,,"A user appealed Meta’s decision to remove a reply to a Facebook comment that included a link to a Wikipedia article about Hayat Tahrir al-Sham (HTS). After the Board brought the appeal to Meta’s attention, the company reversed its original decision and restored the content.",7201,1052,
fb-xwjqbu9a,Claimed COVID cure,https://www.oversightboard.com/decision/fb-xwjqbu9a/,1/28/2021,2021,1,[],,,,"The Oversight Board has overturned Facebook's decision to remove a post which it claimed, 'contributes to the risk of imminent… physical harm'.",27935,4208,
fb-ylrv35wd,Armenian prisoners of war video,https://www.oversightboard.com/decision/fb-ylrv35wd/,6/13/2023,2023,6,[],,,,The Oversight Board has upheld Meta’s decision to leave up a Facebook post that included a video depicting identifiable prisoners of war and add a “mark as disturbing” warning screen to the video.,53081,8079,
fb-z1pgt5fk,Speech Against Femicide,https://www.oversightboard.com/decision/fb-z1pgt5fk/,8/1/2024,2024,8,[],,,,"A user appealed Meta’s decision to remove a drawn image of Mexican women’s rights activist Yesenia Zamudio, which includes a quote from one of her speeches in which she sought justice for her murdered daughter and other female victims of violence.",4594,706,
fb-zt6ajs4x,Iran protest slogan,https://www.oversightboard.com/decision/fb-zt6ajs4x/,1/9/2023,2023,1,[],,,,"The Oversight Board has overturned Meta's original decision to remove a Facebook post protesting the Iranian government, containing the slogan ""marg bar Khamenei.""",67979,10471,
fb-zwqupzlz,Myanmar bot,https://www.oversightboard.com/decision/fb-zwqupzlz/,8/11/2021,2021,8,[],,,,The Oversight Board has overturned Facebook's decision to remove a post in Burmese under its Hate Speech Community Standard.,26329,4008,
ig-0u6fla5b,Ayahuasca brew,https://www.oversightboard.com/decision/ig-0u6fla5b/,12/9/2021,2021,12,[],,,,The Oversight Board has overturned Meta's decision to remove a post discussing the plant-based brew ayahuasca.,38308,5819,
ig-1bmh3dq6,Azov Removal,https://www.oversightboard.com/decision/ig-1bmh3dq6/,12/8/2023,2023,12,[],,,,"A user appealed Meta’s decision to remove an Instagram post asking, “where is Azov?” in Ukrainian. The post's caption calls for soldiers of the Azov Regiment in Russian captivity to be returned.",5333,770,
ig-24cw5dhi,Lebanese activist,https://www.oversightboard.com/decision/ig-24cw5dhi/,9/13/2023,2023,9,[],,,,"A user appealed Meta’s decision to remove an Instagram post of an interview where an activist discusses Hassan Nasrallah, the Secretary General of Hezbollah. This case highlights the over-enforcement of Meta’s Dangerous Organizations and Individuals policy. This can have a negative impact on users’ ability to share political commentary and news reporting, resulting in an infringement of users’ freedom of expression. After the Board brought the appeal to Meta’s attention, the company reversed its original decision and restored the post.",4832,706,
ig-2pj00l4t,Reclaiming Arabic words,https://www.oversightboard.com/decision/ig-2pj00l4t/,6/13/2022,2022,6,[],,,,"The Oversight Board has overturned Meta's original decision to remove an Instagram post which, according to the user, showed pictures of Arabic words that can be used in a derogatory way towards men with effeminate mannerisms.",41123,6358,
ig-2r3ueqrr,Praise be to God,https://www.oversightboard.com/decision/ig-2r3ueqrr/,11/16/2023,2023,11,[],,,,"A user appealed Meta’s decision to remove their Instagram post, which contains a photo of them in bridal wear, accompanied by a caption that states “alhamdulillah.”",5759,843,
ig-3r8rqiaq,Iranian Make-Up Video for a Child Marriage,https://www.oversightboard.com/decision/ig-3r8rqiaq/,10/10/2024,2024,10,[],,,,"In the case of a video in which a beautician from Iran prepares a 14-year-old girl for her wedding, the Board agrees with Meta that the content should have been taken down under the Human Exploitation policy.",50685,7734,
ig-5mc5ojil,Responding to antisemitism,https://www.oversightboard.com/decision/ig-5mc5ojil/,9/13/2023,2023,9,[],,,,"A user appealed Meta’s decision to remove an Instagram post of a video that condemned remarks by music artist Ye (the American rapper formerly known as Kanye West) praising Hitler and denying the Holocaust. After the Board brought the appeal to Meta’s attention, the company reversed its original decision and restored the post.",4949,742,
ig-6bz783wq,Iranian Woman Confronted on Street,https://www.oversightboard.com/decision/ig-6bz783wq/,3/7/2024,2024,3,[],,,,The Oversight Board has overturned Meta’s original decision to take down a video showing a man confronting a woman on the streets of Iran for not wearing the hijab.,48457,7550,
ig-7hc7exg7,Reclaimed Term in Drag Performance,https://www.oversightboard.com/decision/ig-7hc7exg7/,4/23/2025,2025,4,[],,,,"A user appealed Meta’s decision to remove an Instagram post featuring a drag performance and a caption that included a word, designated by Meta as a slur, being used in a reclaimed, positive, self-referential context.",6520,972,
ig-7thr3si1,Breast cancer symptoms and nudity,https://www.oversightboard.com/decision/ig-7thr3si1/,1/28/2021,2021,1,[],,,,The Oversight Board has overturned Facebook's decision to remove a post on Instagram.,24812,3740,
ig-bt93iaco,Syria Protest,https://www.oversightboard.com/decision/ig-bt93iaco/,2/27/2024,2024,2,[],,,,"An Instagram user appealed Meta's decision to remove a video that encouraged Syrians to resist the regime of Bashar al-Assad. After the Board brought the appeal to Meta’s attention, the company reversed its original decision and restored the post.",4060,601,
ig-feywnwi2,Heritage of Pride,https://www.oversightboard.com/decision/ig-feywnwi2/,12/18/2023,2023,12,[],,,,A user appealed Meta’s decision to remove an Instagram post that was celebrating Pride month by reclaiming a slur that has traditionally been used against gay people.,5517,831,
ig-fzse6j9c,United States posts discussing abortion,https://www.oversightboard.com/decision/ig-fzse6j9c/,9/6/2023,2023,9,[],,,,The Oversight Board has overturned Meta’s original decisions to remove three posts discussing abortion and containing rhetorical uses of violent language as a figure of speech.,36498,5637,
ig-h3138h6s,Violence against women,https://www.oversightboard.com/decision/ig-h3138h6s/,7/12/2023,2023,7,[],,,,The Oversight Board has overturned Meta's decisions to remove two Instagram posts which condemned gender-based violence.,45975,7085,
ig-i9dp23ib,Öcalan’s isolation,https://www.oversightboard.com/decision/ig-i9dp23ib/,7/8/2021,2021,7,[],,,,"The Oversight Board has overturned Facebook's original decision to remove an Instagram post encouraging people to discuss the solitary confinement of Abdullah Öcalan, a founding member of the Kurdistan Workers' Party (PKK).",40562,6175,
ig-jlsbgadz,Elon Musk Satire,https://www.oversightboard.com/decision/ig-jlsbgadz/,3/7/2024,2024,3,[],,,,A user appealed Meta’s decision to remove an Instagram post containing a fictional “X” thread that satirically depicts Elon Musk reacting to a post containing offensive content. The case highlights Meta’s shortcomings in accurately identifying satirical content on its platforms.,5325,796,
ig-kfly3526,India sexual harassment video,https://www.oversightboard.com/decision/ig-kfly3526/,12/14/2022,2022,12,[],,,,The Board has upheld Meta’s decision to restore a post to Instagram containing a video of a woman being sexually assaulted by a group of men.,41588,6371,
ig-oznr5j1z,Video after Nigeria church attack,https://www.oversightboard.com/decision/ig-oznr5j1z/,12/14/2022,2022,12,[],,,,The Board has overturned Meta’s decision to remove a video from Instagram showing the aftermath of a terrorist attack in Nigeria.,53743,8445,
ig-pt5wrtlw,UK drill music,https://www.oversightboard.com/decision/ig-pt5wrtlw/,11/22/2022,2022,11,[],,,,The Oversight Board has overturned Meta’s decision to remove a UK drill music video clip from Instagram.,71435,10948,
ig-rh16obg3,Call for women’s protest in Cuba,https://www.oversightboard.com/decision/ig-rh16obg3/,10/3/2023,2023,10,[],,,,The Oversight Board has overturned Meta’s decision to remove a video posted by a Cuban news platform on Instagram in which a woman calls for protests against the government.,55256,8448,
ig-tom6ixvh,Promoting Ketamine for non-FDA approved treatments,https://www.oversightboard.com/decision/ig-tom6ixvh/,8/17/2023,2023,8,[],,,,The Oversight Board has overturned Meta’s decision to leave up a user’s Instagram post discussing their experience using ketamine as a treatment for anxiety and depression.,60765,9219,
ig-wbzenhg7,Statement About the Chinese Communist Party,https://www.oversightboard.com/decision/ig-wbzenhg7/,8/1/2024,2024,8,[],,,,A user appealed Meta’s decision to remove an Instagram comment calling for the “death” of the Chinese Communist Party.,5757,879,
ig-wuc3649n,Al-Shifa Hospital,https://www.oversightboard.com/decision/ig-wuc3649n/,12/19/2023,2023,12,[],,,,"The Board overturns Meta’s original decision to remove the content from Instagram. It finds that restoring the content to the platform, with a “mark as disturbing” warning screen, is consistent with Meta’s content policies, values and human-rights responsibilities.",28596,4355,
ig-wxhs8uei,Pakistan Political Candidate Accused of Blasphemy,https://www.oversightboard.com/decision/ig-wxhs8uei/,9/19/2024,2024,9,[],,,,"The Board has upheld Meta’s decision to remove a post containing an accusation of blasphemy against a political candidate, given the potential for imminent harm in the immediate run-up to Pakistan’s 2024 elections.",39299,6005,
ig-zj7j6d28,Holocaust Denial,https://www.oversightboard.com/decision/ig-zj7j6d28/,1/23/2024,2024,1,[],,,,The Oversight Board has overturned Meta’s original decision to leave up an Instagram post containing false and distorted claims about the Holocaust.,56230,8552,
th-nc063kad,Statements About the Japanese Prime Minister,https://www.oversightboard.com/decision/th-nc063kad/,9/10/2024,2024,9,[],,,,"In the case of a user’s reply to a Threads post about the Japanese Prime Minister and a tax fraud scandal, it was neither necessary nor consistent with Meta’s human rights responsibilities for the content to be removed.",42401,6366,
